vector_db,embedding_model,peak_memory_mb,total_processing_time,docs_processed,chunks_processed,chunk_size,chunk_overlap
redis,all-mpnet-base-v2,31.814040184020996,226.53307461738586,13,207,100,20
redis,nomic-embed-text,0.7845573425292969,45.63194131851196,13,207,100,20
redis,hkunlp/instructor-xl,32.93282985687256,1056.2015407085419,13,207,100,20
redis,all-mpnet-base-v2,31.81436824798584,186.5613169670105,13,207,100,20
redis,all-mpnet-base-v2,29.689444541931152,199.45023584365845,13,115,200,20
redis,nomic-embed-text,0.7881221771240234,55.90754985809326,13,115,200,20
redis,hkunlp/instructor-xl,22.402220726013184,813.1782150268555,13,115,200,20

